SL No,Brand Name,Product Title,Product Description,Per Pad Cost,Reviews Given by Customers,,,,,,,,,,,,,,,,,,,,
1,LunaLeaf,Secure xl | Combo packs 120 Pads | Cottony Soft Sanitary Pads for Women | with Leak Lock Technology | Odour Control | Absorbs upto 100% Fluid | Up to 12 Hours of Protection |,"Secure Cottony Extra Large Sanitary Pads with Wings
Extra Large with length of 274 mm provides long lasting protection
LeakLock technology locks in wetness for upto 12 hours and absorbs 2X faster
Cottony Soft cover helps prevent rashes and irritation
Odour Control system keeps you feeling fresh
Usage Type: Disposable. Wrap used pads in back release paper and throw into dustbin. Do not flush
Country of Origin: India",8.12,"Good Great product I like these pads...these are long lasting plus...thin product but material needs to be more soft and these smells weird idk but that smell cause headache too....and...I like black and pink one ....black one are soft doesn't smell and long lasting and the pink one are tooo soft and comfortable but doesn't last long as compared to green one and black ones... Very uncomfortable, … waste of money Packing condition is poor ?? This new pack with the picture of rasmika.... very very very very very worst quality short, very thik and it is like without strength..... worst to the comparison of the money we are spending... ?????????????? Excellent Product Feel relax with soft pad Thickness is less which make product sorto invisible. For people who are environment cautious can look for sparkle. They claim it to be 100% biodegradable. ------------------------------------------- Pocket friendly Packaging is like WOW and also it's toxin free,fragrance free . Good,so soft, go for it About it Good Large size ... full coverage from back, least chances of leakage. Pro: Cottony (No rashes) Good product Really good Good Been using it for years now. Unlike other brands this is not scented which is a big plus point. comfort, the fit, the absorption everything was on point. Now I’m a fan for life! It’s 40 in one box.and 39 in other box. ***** Best pad EVER ?? Better price Needs improvement for overall product Excellent Comfortable Dint recieve the extra night pad in the package. It's a good sanitary pad for girls because... It has no smell as if .... And not sticky as ... I am using this for more than 3 years????????????????????????????..... Thank you amazon... Good Just softness in material needed But now quality is drastically lower. Worst experience. Donor buy this new pack. Good quality This is comfortable, soft I only use eventhough it does not hold for long and needs constant changing for heavy periods but rashes and itchiness are gone. I am always use this. Comfortable and soft. ?? Nice one I have tried almost all brands of sanitary napkins which is ad like cotton pad Or anti rashes but no use, it just increased my allegies. But at last I found 2 brands which solves all my issues and and I will rate 1 more star for than for its comfort. Good Very comfortable and thin ....length is also good. Overaall good product. It's very useful for more periods. Haven't used a better alternate. Best product Best pads to use Organic sanitary pads are definitely worth the penny. They are soft, comfortable, and has an amazing absorbing capacity unlike other pads available in the market. At first I thought maybe they're too slim to hold on to heavy flows but I was really amazed to see how good these pads are. The XL size is huge and so are the regular pads! So glad I opted for . Recommended to all. There is no looking back after I started using . Absolutely rash free periods as mentioned. Have tried various organic pads which had some problem or the other and was not satisfied. But this one is jus perfect. Must try.",,,,,,,,,,,,,,,,,,,,
2,SoftNest,"Bodyfit Pro Sanitary Pads (XL Size - 290 mm) 54 pads - Deep Absorption & fragrance, Centre Thick Fit, Soft on skin with comfy dry top sheet, with disposable wrap, (3 * 18 Pads),Pack Of 3","BodyFit Pro : Long Lasting on Heavy Days with extra Large pad size of 275 mm
Deep Absorbtion : Centre Thick fit for better absorbtion and leak prevention
Comfy Dry Cover : Gentle to the Skin and Prevents Skin Dis-comforts
Fragrance : Comes with a Natural Fragrance of Rose and Jasmine extracts
Easy Disposal : Each Napkin has a Easy Throw Wrap with Binding Tape for Safe Disposal
Made in India",13.85,"Nice product Nice I thought the size of the pad will be smaller but the pad L size and pad XL size ka equal. Comfortable Good quality Most comfy Bad Very very bad product...I am very disappointed...2 hours ke bad not work ... Don't buy Loved it - very soft, light & comfortable Just felt that the adhesive on the wings could be improved. Its packaging is fantastic as it comes with disposable envelope to be taken care when disposing. Its definitely leak free. But, I cant say much about skin rashes, as I got rashes on skin while using it for a good 5 days. My skin got irritated so much for the very first time. Counting less Infection bhi hone lga Khujali jese very soft and comfortable Very comfortable Perfect Nice Very comfy and product is truly serving its price So soft & comfortable Bad Good absorption and smells good. Helpful It's good I prefer to use these over normal pads. Amazing ?? ?? ?? ?? Hygiene Best ever used Bht heavy flow me din me 2-3 use kr skte ho, mera toh 1-2 me kaam chal jata tha first two days me. Best cotton pads! These sanitary pads have not only elevated my comfort during periods but have also given me a sense of confidence. I no longer dread that time of the month – instead, I feel supported and cared for by a product that genuinely understands women's needs. Fair Good quality napkins material is really soft no issues of getting rashes Nice Highly recommended for peaceful sleep during periods Best that everyone can have. I have used many other sanitary napkins but nothing can beat this one. Go for it girls. Worst pads ever. The before version was good Good Comfort feel free Good especially for long hours nice Must try Save your periods with this. Price is good I've ordered 14 xl ,16l and 4 panty liner combo. But I got 13 XL pads and 2 pantyliners.. 1 xl pad and 2 panty liners are missing.. how we could trust if you deliver products with diff count.. please check and get back.. and this is emergency so I'm not in the situation to return this product. Need to utilise for my needs. Very disappointed in delivered pad counts It's only ok ok pad it's stickness it not good.According to price it's not worth it. Great product The gum to stick the pad is quite weak/bad Good Date of manufacture: 06/2024",,,,,,,,,,,,,,,,,,,,
3,Velvette,Secure xl | Combo packs 98 Pads | Cottony Soft Sanitary Pads for Women | with Leak Lock Technology | Odour Control | Absorbs Up to 100% fluid | Up to 12 Hours of Protection,"Secure Cottony Extra Large Sanitary Pads with Wings
Extra Large with length of 274 mm provides long lasting protection
LeakLock technology locks in wetness for upto 12 hours and absorbs 2X faster
Cottony Soft cover helps prevent rashes and irritation
Odour Control system keeps you feeling fresh
Usage Type: Disposable. Wrap used pads in back release paper and throw into dustbin. Do not flush
Country of Origin: India",17.93,"The pads are really soft to wear and you can hardly feel that you are wearing a pad. However the gum quality to stick the pad could have been better. I otherwise loved the quality. But if the pad doesnt stick its hard to use it Very soft and comfortable product Very bad quality Very good. ????? Try once product works All Night Comfort Pads are a game-changer! The XL++ size with wider back and anti-stain wings gives full coverage and zero leakage through the night. It's a good product at a good price as we're getting discount compared to the real price. The quality they were providing was really good earlier but after the change in packaging and rebranding the quality has suddenly degraded. Looking forward to using it..good packaging ( outer as well as inner individual packets,which solve sthe problem of hygienically disposing the pads Happy Customer !?? One of the best product They are pretty good and comfortable Good Average product Not scented anymore Best quality product out there for people who prefer wearing pads during menstruation. Used to get rashes during each cycle but after using this product for almost 2 years never had a single rash another plus point is it's odorfree after use. Good This pads are soo large,soft and comfortable and it absorbs upto 10 hours..Best for heavy flow and for night use Pads Average Ita very nice product. Must buy at this price Good Best XL++ overnight pads are soft and comfortable. The best thing is that it doesn't irritate your skin like no rashes or irritation. I recommend all women to try these extra long leak proof pads. I stumbled onto and starting using their pads, been a constant user for the past 2 years. They are so soft, non toxic and leak proof. I appreciate the quality of your products, but I would like to request that you take extra care with the packaging during the rainy months. I've tried lot of pads in online finally I've find out the best one. This is really good Bad product One pad is missing from the box Good Good Nice Go for it Nice and comfortable Just awesome... Fine Comfortable, safe, soft and rash free Perfect for a girl who needs assistance for her periods and hassel,.no rashes, no odour, perfect product to be used. Note: As tacit, organic pads without chemicals are not as absorbent as the conventional ones. and absorbs really well. Loved how it stayed in place all day long Value for money Excellent goo",,,,,,,,,,,,,,,,,,,,
4,GentleGuard,"Ultra Overnight Sanitary Pad For Women With Wings - XXl, 40 Pads","Dual action gel that locks wetness and neutralises odour
DRI weave top cover that absorbs in seconds
Storage instructions: Store in a cool and dry place",8.8,Packet Good Ultimate Protection In the product page it says that it is made in India but in the package it is mentioned as made in PRC i.e Peoples Republic of china. Very Very misleading. Wont be ordering again ever. Had ordered Ultra & to compare but gonna stick with former as product is good as well as they are not misleading. I have been using this. is not so bad as per price it is good but a bit thick which is ok but not so comfortable for people using xl above rs 450. Like wise it is good Superb quality ???? Good product same as the one sold in market(I don't know why some people are calling it fake) One L size pad is missing in my order Worth it The 3 size packet is convenient. best offer ...Just grab it Good Excellent 1. It is very soft and comfortable and being organic is the biggest plus. Good thanks amazon Smells like and comfortable ! That's Actually Worth It Nice Helpful Nice product but need more money?? Very comfortable. Very good organic. Has sizes to fit the requirements. Leak proof and tear proof after 8 hrs use. Amazing product?? Thanks Nice Good product Dont buy low quality No panty liners Great Cant be used for long hrs AMAZING !! MUST BUY LIFE CHANGING The scent is pleasant and it isn’t irritating on the skin. Amazing Ok ok Good It is good to use This should be introduced to teens It's the best i have ever used .a must buy for all women Much better than Wisper ultra for heavy flow. Very effective for overnight use Cotton pads ..no chemical and fragrance Good Quality issue Very nice product ?? I don’t think I will go for any other brand now Valuable products Excellent product giving super soft feel and comfort Rashes free Good,,,,,,,,,,,,,,,,,,,,
5,CalmWave,"Choice Sanitary Regular Pads For Women, Regular, Pack of 20","LEAK PROTECTION: Upto 100% Stain Protection All Day
DRY: Keeps you clean and dry
DISPOSABLE: Disposable Pads
LENGTH: Regular Length 230 mm",11.47,"Very comfortable Simple amazing, using it for the past 1 year, its amazing, go for it girlies. Good product, value for money. Rash - Free Periods The sanitary pads is perfect for me, as it is light and not too thick but doesn't compromise it's absorption. One thing that is unique about this pads is that it has 3 different sizes so that one can use according to the flow of the period. And also one thing that I noticed is that it doesn't stick so well in all types of under garments material, though i don't exactly know which type it is. Feel good Once tried, you will never think of switching to other napkins! Exactly ?? Must try Good This used to be an excellent product. Very good absorption capacity. But now keeps getting worse each time. Absorption is bad, doesn’t stay in place. Terrible leakage and embarrassing situations. Good and big pads as mentioned by weller. Value for money Amazing product and Safe Delivery. 4. Not only are these pads extremely expensive, they cause even more expenses. All the mess they create, you end up using a lot of toilet paper or wipes for cleaning the unabsorbed blood smearing you everywhere. Product is Very good in its own.But It should be a little longer from the back and the wing's length along side of the pads can also be increased. If u hv heavy flow, blindly go for it. , is all waste. By heavy I mean min 12 to 15 pads a day..I rely on . Atleast it's not leaking every 20 min like that of well established brands. Good quality pads I used to buy this because the cotton stays all over the pad but now after 2-3hours it comes at one place like as other company pads it irritates Worst product It very comfortable cloth and size also... 1. It is very soft and comfortable and being organic is the biggest plus. If you have sensitive skin, stay away from this. I got severe rashes worse than what I used to get with commercial brands. Even sofi was better and softer than this. was the best. I thought this would be great but the rashes were so severe that now I don't know what to do with this big pack I got.. I'm writing this after using it for three cycles. Trust me and look for better options. This is my second purchase!! Hope by now you all can realise how good this is! Just try once!! I am sure you're gonna ditch all other napkins you've been using! SUPERB Good ..condition They call it organic....this is jel lock based pads....how can it be organic?? Besides when jelly and blood mixes and after hours passing fungus grows in blood.....and this fungus and jel combination is cause of carcinoma then how can this is helpfull from other products??????? Pads dont leak and very useful during travel hours.... Received a free product, and it worked so well. No leaks, great fit, and smooth texture. It's ideal for sensitive skin and delivers all-day comfort. Very happy with this. No disposable covers Item is very good but seller item send without packing. Useful Adhesion I loved the product Hi, I have been using for at least two years now. But the current order came without individual wrappers for each pad. Not sure if this is a change from the company or the seller. It should be clarified at the time of purchase and made clear on the website. Comfortable and soft, non irritating and no rashes ???? ???? ????? ???????? ??????? ???? ???? ???? After i started using this product…. Never eent back to other brand. The best???????? Thin and quality is good Good Excellent product We got it at the price of 4.58 per unit.",,,,,,,,,,,,,,,,,,,,
6,EverGlow,Naturally Soft XL Sanitary Pads for Women | 282mm Long | Cottony Soft Top Cover | Anti Leak Lock Channel| 2X Absorbent| for Heavy Flow| 36 Pads,"Sanitary Napkins come with a extra soft & cottony top sheet for extra comfort throughout the napkin usage time.
Rash free product, Soft Edge Arms cotton help prevent rashes during and after periods.
Rapid 2X Absorption to stay secure and absorb well during your periods.
Fresh Fragrance helps to eliminate bad odour and provides a comfortable femi protection.
No Ink used on pads to help ensure chemical free product in contact with intimate areas.",15.62,"Quality Good Must buy girls?? Quality is not good Very good product I liked the product. No side effects like rashes etc. One observation is that it soaks bit less that regular sanitary pads. I’m fine as this one is nature friendly. Will continue usage. 1. You will have blood everywhere on your skin, front of your private part, butt crack, thighs, but hardly much on the pad. It's just a layer of cotton made into a pad. So comfy Good purchased according to money Highly comfortable With these, I haven’t faced any issue. I change 3 pads on a daily basis, extremely soft and most importantly- economy friendly. Nice it's look good Good Nice Great product It came with a cute packaging , it contains a small cotton bag, pads suitable for heavy flow days and light flow days also contains panty liners which are pretty well sufficient for one month. One can use these pads without any fear cause it is eco friendly doesn't contain chemicals and it is very soft and doesn't get rash. I think everyone should try these kind of pads which are safer for women and also to the environment. It's absorbency is also very good, as it is mentioned for heavy and light flow days (competing with commercial brands which conatains chemicals). These kind of pads are also bio degradable without making harm to nature. Package was opened inside pad was ok not satisfied sanitary pad A little bit pricey or expensive. didn't leak... didn't use extra no of pads... Good The only pad that never gives me rashes. As in when i opened the package, all the pads were out of the packet and the packet was open. It is a decent quality item .It gives me insurance from spillage and has great retention capacity.But one thing is irritating me is that the gum isn't cement and detaches step by step making me self-conscious. Created rashes Very good product Nice quality cotton napkins Value for money Good Good I have been always using wisper extra large peds which cost me around 11/12 rs.... sometimes 500 for 40 peds or 480...later I thought to give a try to cheaper peds and guess what found really effective Good Nice It's little bit uncomfortable fo Thik Takh hai two size varients are given in one pack so that it doesn't go waste. Good observation. Good To : ?? Peaceful Sleep & Total Protection Softness Good to go. Good",,,,,,,,,,,,,,,,,,,,
7,PureEase,"Secure Night Sanitary Napkins for Women (98 Pads), Combo Offer pack Buy 80 Pads Get 18 Pads","Now sleep worry free with Secure Nights pads as it provides all round leakage protection through the night 320 mm length and wider back provides 2X better coverage and protects against back leakage LeakLock technology instantly absorbs up to 100% of fluid and won’t make you feel wet It has cottony soft cover to give you maximum comfort through the night Individually packed pads so you can carry one with you always and stay prepared for any surprises.Odor control system so that you feel fresh, always!",7.17,"Good Reasonable price. Genuine cotton pads with no synthetic layer above... Soft Good one Seller problem Blood does not become gel, blood rubs on the skin, the skin remains wet soft and comfortable Amazing and unforgettable product in my life Thank God it's available on Amazon. I always get next day delivery if my periods come unanounced. These napkins are really soft and absorbent - and not super expensive also. I have switched to them permanently. Its been so long this was not in the market, i switched to another brand. Don't know if P&G will do this again. Disgusting product, the cotton came out of the pad, made up of cheap material, gave rashes. I am so disgusted with this product Real These sanitary pads are extra large very good for heavy flow days. It holds up for long time. MD MINNATULLAH YAZDANI Well absorbed, absolute comfort and softness I am a regular customer of this product. Great sanitary napkins One L size pad is missing in my order Love it the way it doesn't cause rashes to my sensitive skin. It's comfy , has good hold too. Jst love it??? Good A very very bad experience about Amazon packaging Worth spending Loved it... Comfortable, soft, rash free . A must buy Highly recommend !!!! I love this pad, and I'm sad that I didn't knew about this earlier! I used to wake up with stains but not anymore. This pad has great coverage and stays in place. No itching or rash. Awesoms But paisa vasool, must say. I love how comfortable secure XL is!! I’ve been using it for a long time now and it is my go to brand !! The Secure Night Sanitary Napkins Combo Pack is a fantastic deal. With 98 pads (Buy 80 Get 18 Free) and 20% off, it’s far more affordable than purchasing single packets. The pads are highly comfortable, providing excellent absorption and leak protection for use. Best cotton pads! The best rash free pads ever I finally got freedom from period rashes. This one is a savior! And it is the cheapest among similar products. I am sticking with it! Review So don't buy it...?? Nice Comfortable n Good quality. I order it every month as its very soft on my skin Great Product! One of the best sanitary pad moderate fluffy soft & without fragrance Doesn't stick to your skin,Soft n comfortable Very reasonable product I recently came accross organic sanitary pads and i am very happy after using them. They are very soft and comfortable. The absorbency of these pads is very good. It will not feel feel your wet for 6 to 8 hours. They will not leave any skin allergies or rashes because they are very thin and soft. They are well sized too. The best part is, they come with one extra complimentary pad with very good packaging. I love these oragnic pads ad would recommend to all women to try once. As they are organic, you would not feel guilt while disposing them!! azha napkins Thanks Good quality and pacakaging The sanitary pads are now delivered like this ? Open. Without any cover or any plastic or cardboard covering. Why? Nice pad,good absorbance,good packing and comfort too.",,,,,,,,,,,,,,,,,,,,
8,MiraCare,Dry Comfort Ultra Thin XL+ Sanitary Napkins for Heavy Flow (Pack of 1)50 Pads|320mm Long| Suitable for Heavy Flow|Faster Absorption |Prevents Wetness & Leakage Free Biodegradable disposable bags,"Sanitary Napkins come with a soft and cottony 3 Layerd shield for Heavy flow.
Rash free product, Soft Edge Arms made of textile cotton help prevent rashes during and after periods.
Long Lasting Protection with 10% wider backside as compared to Ordinary Pads.
Prevents Odour with fresh and pleasant fragrance and keeps you dry with Fluid Lock Gel.
No Ink used on pads to help ensure chemical free product in contact with intimate areas.",13.6,"good But size is bit short for me and rash free pads that's all you can give a try Pads are lightweight and durable . And rashfree . Comfortable Great 5 Out of 6 products are delivered in good condition,but one product 40 piece of santry pad packet is 30% torn so ,this packet is not useful for me because of hygiene issue. Good for this price range. Good working Pretty nice..almost fully satisfied using this extra added cushion in it..no worries just go for it any girl/women who is searching in this size..???? Very good product Nice Original Amazing! My daughter loves it! It's good in quality, price and usage. Good I always trusted this brand for comfort and hygeine. Made from 100% organic cotton Soft and light! I change every 5-6 hrs and things are smooth!? Good product Good product. Have been using this nearly about a year. Quality is good and comes with various types of flow usage with color codes. Also one good thing which I liked here is one can choose as per their requirement. Would recommend this ?? They are good for normal flow please don't use it for heavy flow I have been using this product for a year and I must say it's a good product compared to other pads available in the market and plus it comes with a biodegradable use bags.?????? Very worst product and service by Amazon. Delivery Agent is very rude and they refuse to deliver door step. Even customer care will repeat, I am sorry and take responsibility for the issue. But end of the day even you order a replacement it wont be delivered. These are great pads that extra long, the wing sticker given in the back is so helpful. Great innovation. If it is free of chemical then why it is being shown that it tested positive for VOCs and phthalates??? Must have for all girls HelpfulG Quality of the product Gud Average / not good Not good Product ko cover krke bheja kre plzz.. public place pr product ko Receive krna uncomfortable lgta h Superb Good I have always preferred products. But it is much more comfortable and highly absorbent product. thanks for this innovative pads to the company. My New Go-To Pads Package delivered is worst from Amazon delivery. package has been seem to be opened Doesn't stick to your skin,Soft n comfortable Very bad I got rashes from this pad The product is really good I'm happy with the product but the delivery person he doesn't have any change ?? it's not possible to give change everytime I am using this product since last 3 years, these are awesome. But from last 2-3 months, the pada get less stickness. It folds while using, which cause unvomfortness. Super soft on sensitive skin and very comfortable Good Good product",,,,,,,,,,,,,,,,,,,,
9,SwanSoft,"Choice Sanitary Pads with Wings for Women, XL, 40s Napkins","LEAK PROTECTION: Provides Long Lasting Protection
LEAK PROTECTION: Upto 100% Stain Protection All Day
DRY: Keeps you clean and dry
DISPOSABLE: Disposable Pads
COVERAGE: 50 mm Longer vs. Regular Pads",17.4,"Good Very good i recomand you to buy and use it for your safety from chemicals and toxics Okay okay product. Perfect material Very nice. 5.0 out of 5 stars Good ok It's a worst product.waste of money.packing also worst.in that pack all pads are in green colour. Only Medium flow packs are there.No heavy flow pads in there. Duplicate and bad quality product never order again Too narrow at the back not comfortable Good quality pads Good Average Excellent OK Comfortable I also liked how mindfully they didn’t restrict the pads to a single size rather included Extra large , large and panty liners for different flow days. Doesn't give you rashes unlike wisper It was poorly packed One of the best variants of That changed my Routine?? No more fear of leaks So Comfortable . Product is excellent Helpful Good 5.0 out of 5 stars GOOD PRODUCT Good Good product Good Very better pads than any other in market Best sanitary pads for heavy flow and extra large Helpful It is of 40pads... But we received only 30pads.. remaining 10 pads were missing.. last time there were one pad missed.. not satisfied by this purchase... Very good quality, it's really work ?? Nice Good product The product is nice but it is not thin. You don't feel like you r wearing nothing. You feel some heavy. I have used and they r thin compatible to this product. r good but costly.",,,,,,,,,,,,,,,,,,,,
10,CarePearl,"Anti-Bacteria Sanitary Pads (XL Size - 290 mm) 48 Pads - 6 layer deep absorption & Herbal Shield for Bacterial Protection, Soft on skin with comfy dry top sheet (Pack of 1)","Anti Bacterial Pads : Experience Hygiene with Natural Herb
No Leakage : 6 Layer Deep Absorbtion with Herbal Sheild for heavy flow days
Comfy Dry Top Cover : Keeps Skin Dry and Hygine
Available in XL (290 mm) and XL+ (323mm) pad size
XL (290 mm) Available in 14P, 28P & 48P ; XL+ is Avilable in 15P, 30P & 44P
Made in India",9.12,"Very comfortable sanitary pads and after using it u feel free. Size of the pad is good and and it has quick absorb formula with any stain. Good Very good ?? Fantastic Quality and comfort Product is good but the original box packing was all opened and not packed properly... outer paper bag of amazon was okay. Can buy, nice product The pad is super excellent.it is very soft and smooth.when i have used,that i am not using pad. It is very thin and fine. The absorbence is excellent.it work for more hours and there is no leakage problem. It is very soft and there is no chances of rashes. It is comfortable to carry.its best part is its size.,that is xl. All to all it is very comfortable very smooth pad with high absorbence. Comfort boosts confidence. Care to carry gives the courage. I am using this product for a while...I am super happy that finally I got a napkin which doesn't give me irritation and rashes. Thank you for the makers for making this product. Product is Good Its really superb product 1st time I was trying no irritation and rashes free no fragrance. Best pad EVER ?? It's so comfortable Safe and hygienic pad Comfortable Fake one, not upto the mark Good product The pads r really soft n definitely not rashy..the comfort is not good, u need to kee a frequent check otherwise it can bleed out quickly..I would not recommend for the first two days if u have a decently heavy flow..may b for the later days.. Good Worse ultra soft has a a mild fragrance, very soft and comfortable,does absorb nicely. Size issue otherwise this us amazing product A good buy in this price Love it Most convenient, comforting and organic Good product Improve quality. 11pad only not 12 Super Comfy Value for Money ???? bekar Good Best pads for rash and irritation free periods Good quality Really a leak proof Nice product 5.0 out of 5 stars Has some odour but it is the beest thing try out to see whether it suits u The issue with the regular pads I had was the fact that none of the pads helped me with heavy flow and I used to change easily 4-5 pads a day. Additionally, I used to get rashes and it used to itch. ???????? ??? ??? ???? One of the best sanitary pad. Perfect for hazzle free nights. But got disappointed as it is unavailable nowadays so ordered ultra and it is the worst sanitary pad I have ever used total waste of money. I ordered clean and night pad found out to be the same no difference. I highly recommend only maxi. Don't be fool to buy ultra it's very thin.",,,,,,,,,,,,,,,,,,,,
